,id,source,url
91,91,military-technologies.net,http://www.military-technologies.net/2017/08/18/uav-drones-market-demand-is-increasing-rapidly-in-2016-2024/
92,92,Boston Herald,http://www.bostonherald.com/news/national/2017/09/us_coastal_growth_continues_despite_lessons_of_past_storms
93,93,Fox News,http://www.foxnews.com/us/2017/09/16/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth.html
94,94,HeraldNet.com,http://www.heraldnet.com/nation-world/us-coastal-growth-continues-despite-lessons-of-past-storms/
95,95,KIRO,http://www.kiro7.com/news/national/us-coastal-growth-continues-despite-lessons-of-past-storms/610406621
96,96,tristateupdate.com,http://www.tristateupdate.com/story/36382595/us-coastal-growth-continues-despite-lessons-of-past-storms
97,97,CTPost,http://www.ctpost.com/news/texas/article/What-hurricanes-don-t-teach-us-AP-finds-fast-12202754.php
98,98,National Post,http://nationalpost.com/pmn/news-pmn/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth
99,99,Republican American,http://www.rep-am.com/news/2017/09/16/hurricanes-what-hurricanes-coasts-see-massive-development/
100,100,Mail Online,http://www.dailymail.co.uk/~/article-4890664/index.html
101,101,NOLA.com,http://www.nola.com/environment/index.ssf/2017/09/us_coastal_population_growth.html
102,102,The Seattle Times,http://www.seattletimes.com/nation-world/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth/
103,103,San Francisco Gate,http://www.sfgate.com/news/texas/article/What-hurricanes-don-t-teach-us-AP-finds-fast-12202754.php
104,104,Boston.com,https://www.boston.com/news/national-news/2017/09/16/us-coastal-growth-continues-despite-lessons-of-past-storms
105,105,mySA,http://www.mysanantonio.com/news/texas/article/What-hurricanes-don-t-teach-us-AP-finds-fast-12202754.php
106,106,The Kansas City Star,http://www.kansascity.com/news/business/national-international/article173700696.html
107,107,WFTV,http://www.wftv.com/news/florida/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth/610299985
108,108,Star Tribune,http://www.startribune.com/what-hurricanes-don-t-teach-us-ap-finds-fast-coastal-growth/444848483/
109,109,The Denver Post,http://www.denverpost.com/2017/09/16/us-coastal-population-growth/
110,110,Daily Herald,http://www.dailyherald.com/article/20170916/news/309169966
111,111,WRAL.com,http://www.wral.com/what-hurricanes-don-t-teach-us-ap-finds-fast-coastal-growth/16952667/
112,112,Miami Herald,http://www.miamiherald.com/news/article173700696.html
113,113,WSOC,http://www.wsoctv.com/news/south-carolina/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth/610298959
114,114,Fox Business,http://www.foxbusiness.com/markets/2017/09/16/us-coastal-growth-continues-despite-lessons-past-storms.html
115,115,WVVA TV,http://www.wvva.com/story/36382595/us-coastal-growth-continues-despite-lessons-of-past-storms
116,116,Times Union,http://www.timesunion.com/news/texas/article/What-hurricanes-don-t-teach-us-AP-finds-fast-12202754.php
117,117,West Side Journal,https://www.abqjournal.com/1064759/us-coastal-growth-continues-despite-lessons-of-past-storms.html
118,118,The Bangor Daily News,http://bangordailynews.com/2017/09/16/news/what-hurricanes-dont-teach-us-ap-finds-fast-coastal-growth/
119,119,wbrc.com,http://www.wbrc.com/story/36382596/us-coastal-growth-continues-despite-lessons-of-past-storms
120,120,wbrc.com,http://www.wbrc.com/story/36382595/us-coastal-growth-continues-despite-lessons-of-past-storms
121,121,Seattle Pi,http://www.seattlepi.com/news/texas/article/What-hurricanes-don-t-teach-us-AP-finds-fast-12202754.php
122,122,The Sacramento Bee,http://www.sacbee.com/latest-news/article173700696.html
123,123,KHNL TV 8,http://www.hawaiinewsnow.com/story/36382596/us-coastal-growth-continues-despite-lessons-of-past-storms
124,124,Metro Toronto,http://www.metronews.ca/news/world/2017/09/16/what-hurricanes-don-t-teach-us-ap-finds-fast-coastal-growth.html
125,125,Associated Press,http://hosted.ap.org/dynamic/stories/U/US_HURRICANES_COASTLINE_GROWTH_TXOL-?SITE=COCOL&SECTION=HOME&TEMPLATE=DEFAULT
