source,reputation,articles,size
realtimepolitics.com,-1,[],100
kansas city star,0.5,[],100
educateinspirechange.org/health,-1,[],100
mediazone.news,-1,[],100
AmmoLand.com,-1,[],100
veteransnewsnow.com,-1,[],100
automotostar.com,-1,[],100
christianfightback.com,-1,[],100
70news.wordpress.com,-1,[],100
presstv.ir,-1,[],100
truepundit.com,-1,[],100
reductress.com,-1,[],100
libertyalliance.com,-1,[],100
commentarymagazine.com,-1,[],100
newsmutiny.com,-1,[],100
landoverbaptist.org,-1,[],100
clashdaily.com,-1,[],100
ewao.com,-1,[],100
westernjournalism.com,-1,[],100
off-guardian.org,-1,[],100
newsthump.com,-1,[],100
lastdeplorables.com,-1,[],100
davidstockmanscontracorner.com,-1,[],100
EagleRising.com,-1,[],100
libertyfederation.com,-1,[],100
nymeta.co,-1,[],100
dailysurge.com,-1,[],100
voxtribune.com,-1,[],100
chaser.com.au,-1,[],100
americanlookout.com,-1,[],100
learnprogress.org,-1,[],100
duhprogressive.com,-1,[],100
christianpost.com,-1,[],100
ushealthylife.com,-1,[],100
darkmoon.me,-1,[],100
thinkprogress,0.45,[],100
bigbluedimension.com,-1,[],100
actforamerica.org/news,-1,[],100
theantimedia.org,-1,[],100
TheTruthWins.com,-1,[],100
ecowatch.com,-1,[],100
TrueActivist.com,-1,[],100
buzzfeedusa.com,-1,[],100
americanpresident.co,-1,[],100
geoengineeringwatch.org,-1,[],100
therightscoop.com,-1,[],100
bighairynews.com,-1,[],100
Expose1933.com,-1,[],100
wall street journal,0.76,[],100
zerohedge.com,-1,[],100
powerpoliticians.com,-1,[],100
lovethispic.com,-1,[],100
debunkingskeptics.com,-1,[],100
empirenews.net,-1,[],100
abeldanger.net,-1,[],100
politicot.com,-1,[],100
canadafreepress.com,-1,[],100
journal-neo.org,-1,[],100
freepatriot.org,-1,[],100
usinfonews.com,-1,[],100
blackgenocide.org,-1,[],100
washingtonpost.com.co,-1,[],100
elitereaders.com,-1,[],100
100percentfedup.com,-1,[],100
metropolitanworlds.com,-1,[],100
davidduke.com,-1,[],100
politicalcult.com,-1,[],100
viralactions.com,-1,[],100
megafreshnews.com,-1,[],100
pjmedia.com,-1,[],100
freewoodpost.com,-1,[],100
elmundotoday.com,-1,[],100
ruptly.tv,-1,[],100
usa-television.com,-1,[],100
shareblue.com,-1,[],100
express.co.uk,-1,[],100
ladylibertynews.com,-1,[],100
gulagbound.com,-1,[],100
conservativespirit.com,-1,[],100
baptistnews.com,-1,[],100
cannasos.com,-1,[],100
breakpoint.org,-1,[],100
nationalvanguard.org,-1,[],100
whatreallyhappened.com,-1,[],100
universepolitics.com,-1,[],100
itaglive.com,-1,[],100
topinfopost.com,-1,[],100
the-insider.co,-1,[],100
naturalnews.com,-1,[],100
usa today,0.27,[],100
makeamericagreattoday.com,-1,[],100
reagancoalition.com,-1,[],100
ExperimentalVaccines.org,-1,[],100
frontpagemag.com,-1,[],100
drudgereport.com.co,-1,[],100
aanirfan.blogspot.co.uk,-1,[],100
usanewspolitics.com,-1,[],100
guardianlv.com,-1,[],100
wikileaks.com,-1,[],100
theinternetpost.net,-1,[],100
instaworldnews.com,-1,[],100
USAWatchdog.com,-1,[],100
conservativehq.com,-1,[],100
politicops.com,-1,[],100
theunrealtimes.com,-1,[],100
thenewsnerd.com,-1,[],100
worldpoliticsus.com,-1,[],100
worldrumor.com,-1,[],100
antiwar.com,-1,[],100
channel18news.com,-1,[],100
naturalnewsblogs.com,-1,[],100
libertymovementradio.com,-1,[],100
stneotscitizen.com,-1,[],100
breitbart,-0.92,[],100
usherald.com,-1,[],100
goneleft.com,-1,[],100
politicususa.com,-1,[],100
whatdoesitmean.com,-1,[],100
usatodaynews.me,-1,[],100
americasfreedomfighters.com,-1,[],100
Youngcons.com,-1,[],100
thelibertymill.com,-1,[],100
anonnews.co,-1,[],100
patdollar.com,-1,[],100
ijr.com,-1,[],100
foreignpolicyjournal.com,-1,[],100
nevo.news,-1,[],100
pravdareport.com,-1,[],100
fusion.net,-1,[],100
collective-evolution.com,-1,[],100
usanewsflash.com,-1,[],100
the colbert report,0.3,[],100
truthfrequencyradio.com,-1,[],100
newsbbc.net,-1,[],100
fridaymash.com,-1,[],100
prepperwebsite.com,-1,[],100
drrichswier.com,-1,[],100
usaphase.com,-1,[],100
Amposts.com,-1,[],100
Acting-Man.com,-1,[],100
countercurrents.org,-1,[],100
zootfeed.com,-1,[],100
usuncut.com,-1,[],100
gopthedailydose.com,-1,[],100
endingthefed.com,-1,[],100
militianews.com,-1,[],100
healthyworldhouse.com,-1,[],100
surrealscoop.com,-1,[],100
ufoholic.com,-1,[],100
conservativeoutfitters.com,-1,[],100
judicialwatch.org,-1,[],100
themindunleashed.org,-1,[],100
theseattletribune.com,-1,[],100
elelephantintheroom.blogspot.com,-1,[],100
newscorpse.com,-1,[],100
usadosenews.com,-1,[],100
cbsnews.com.co,-1,[],100
aurora-news.us,-1,[],100
horowitzfreedomcenter.org,-1,[],100
theusa-news.com,-1,[],100
82.221.129.208,-1,[],100
breaking911.com,-1,[],100
whitepower.com,-1,[],100
uspoliticslive.com,-1,[],100
thelastlineofdefense.org,-1,[],100
bluenationreview.com,-1,[],100
jacobinmag.com,-1,[],100
SilverStealers.net,-1,[],100
attn.com,-1,[],100
politicalears.com,-1,[],100
usatoday.com.co,-1,[],100
newslogue.com,-1,[],100
usdefensewatch.com,-1,[],100
rense.com,-1,[],100
dailynews10.com,-1,[],100
thegoldandoilguy.com/articles,-1,[],100
liberaldarkness.com,-1,[],100
cowgernation.com,-1,[],100
secretsofthefed.com,-1,[],100
redcountry.us,-1,[],100
usa2016elections.com,-1,[],100
the atlantic,0.23,[],100
alternativemediasyndicate.com,-1,[],100
religionmind.com,-1,[],100
viralliberty.com,-1,[],100
drudgereport.com,-1,[],100
thelibertybeacon.com,-1,[],100
dandygoat.com,-1,[],100
intrepidreport.com,-1,[],100
christwire.org,-1,[],100
times.com.mx,-1,[],100
dailydiscord.com,-1,[],100
bbc,0.8,[],100
wikileaks.org,-1,[],100
usadailyinfo.com,-1,[],100
americanpoliticnews.co,-1,[],100
libertynews.com,-1,[],100
washingtonfed.com,-1,[],100
abcnewsgo.co,-1,[],100
betootaadvocate.com,-1,[],100
bloomberg,0.7,[],100
patriotnewsdaily.com,-1,[],100
ronpaulinstitute.org,-1,[],100
freedomworks.org,-1,[],100
checkoutthehealthyworld.com,-1,[],100
mother jones,0.65,[],100
rightwingnews.com,-1,[],100
newcenturytimes.com,-1,[],100
thecommonsenseshow.com,-1,[],100
guccifer2.wordpress.com,-1,[],100
DeadLineLive.info,-1,[],100
newswatch28.com,-1,[],100
NoMoreFakeNews.com,-1,[],100
theineptowl.com,-1,[],100
consortiumnews.com,-1,[],100
rockcitytimes.com,-1,[],100
moonofalabama.org,-1,[],100
civictribune.com,-1,[],100
coed.com,-1,[],100
whowhatwhy.com,-1,[],100
BullionBullsCanada.com,-1,[],100
megynkelly.us,-1,[],100
trueamericans.me,-1,[],100
proudcons.com,-1,[],100
FreedomsPhoenix.com,-1,[],100
